#NAME	C3001	C3017	C3022	C3023	C3030	H4004	H4006	H4007	H4008	H4009	H4014	H4015	H4016	H4017	H4018	H4022	H4023	H4038	H4043	H4045	M2008	M2025	M2027	M2028	M2034	M2041	M2042	M2060	M2061	M2075	M2084	P6005	P6016	P6028	P6033
330.2368__497.64	5158121.84771	2054553.11119	1543113.56219	66721.82257	5258129.94917	2810452.58657	52820.73991	74141.46747	71030.5006	9628875.77843	7068330.64887	4741642.79147	73750.24995	1909233.61606	185890.90611	8624938.42696	6634856.56468	2497730.04453	4722119.65515	11875915.55665	107126.42809	26913123.20446	8279616.13704	5369775.03272	71880.67481	2800011.93484	25718.52219	330428.51891	806137.33774	2690371.60074	86257.33087	3677778.2046	81811.28085	83279.40778	1887419.11473
330.2369__450.75	25455778.347	13631279.24662	17151267.34652	79878699.89529	24088700.18714	31453318.23464	4332983.40522	10595414.13393	18289094.93367	28500610.11891	54770204.29679	41041241.82751	5607852.109	6492170.56775	8342877.6911	40491816.07069	33602586.79131	12522236.83885	29558947.01159	54268207.83265	1863844.49066	14977861.95834	39241627.09804	31683142.21874	1963730.97088	55398682.58981	2579415.92665	1343815.8184	23225901.82819	10622219.30738	11678755.30618	17182818.67607	18650832.27453	2418238.58256	6927083.06696
330.2517__845.14	377086719.85645	345274213.62739	2089666.56673	134481551.54433	38076035.07046	252290027.05771	177893752.99985	106693977.35004	7167282.5877	84200287.37767	23649366.17867	66847343.17095	32823782.36372	656458063.4741	49157340.74183	82686365.23609	28248972.81264	50151544.89855	14436931.01135	45181894.74544	2405970.06332	14660551.57962	11781284.74691	46069099.53331	31508481.49804	1052650088.60317	2602785.74506	2484970.79134	3485855.51252	15238405.2956	4166282.41066	90008965.19645	66577794.08601	20957740.22906	56013029.64162
330.2552__731.45	528328.75863	213023.45519	66724.02972	551003.58227	1654803.41155	90396.31938	0	46265.536	185380.70278	518279.4316	1930438.0414	1455979.53759	0	833613.90091	275401.41252	236081.81995	502603.43689	121033.74796	145071.01261	103061.19957	0	8098024.16978	603020.38067	1443275.25813	43262.93944	6142741.59451	122574.43644	278212.99971	1815841.23309	840008.92365	67443.87067	2141276.64896	172238.12837	48142.6772	49976.1835
330.8807__31.11	20704.29884	135756.67222	137675.21141	107164.9609	47167.89282	126352.21515	155099.3849	18006.1891	1389839.5516	187474.98581	28626.81036	245257.31376	24091.0285	68723.85297	59459.42758	97959.63947	34230.31514	41765.31655	19646.467	90869.93744	617284.89677	13878.9345	188592.01986	2176305.8775	13756.04285	148259.37065	21551.38945	25451.9201	15206.80939	25169.46487	275638.29943	233762.72675	104993.80548	148245.01958	18852.88349
331.0622__42.05	5728741.90692	944594.3797	6348753.9496	241655.60873	848128.86132	1733071.58189	763840.26293	481777.74636	2564593.50983	846847.97078	11775937.97658	385227.17398	879735.61842	1921225.6322	838245.73251	3373719.87715	596730.21227	12299002.45355	558913.10336	1513008.52573	5466053.84054	1733574.71217	2557240.07189	1184014.22774	4145355.71204	3191561.89227	1067098.74703	949367.80903	232439.68392	1953296.28877	524851.29707	1532295.88991	2794435.53157	22211695.16158	40233257.64994
331.1022__201.34	69534.06696	0	57863.29503	0	953091.91536	121109.25514	29314.46053	0	643851.20315	10387569.09931	14435887.09658	0	40449.66276	0	181702.37002	27872.33405	7094248.41915	29615.67303	46565.61116	0	0	0	0	802473.0866	877281.1636	409269.17278	2846182.99968	1035753.34279	241556.41328	79822.607	41606.08396	6941832.82576	53185.57635	339601.37516	23383.89463
331.1094__124.28	180692119.29361	348418.56535	449241.69535	93371971.06737	179324.12904	3572403.50282	29137.05526	50878026.93112	1511817.50545	487824.46537	2010040.01133	1787936.83182	37059146.82408	91099.13286	3619319.85573	133503.28894	456622775.26269	560603.17783	302977.12131	647050.87667	71772.771	14161684.56292	142379980.67005	5631583.98072	354338.06316	7057188.72604	4779963.60822	5674530.44164	716125.96141	8802703.61295	690242190.61509	429175.43749	186653.72254	187103.21536	678631.33955
331.1186__79.12	20229672.31153	71555.19055	8888124.64812	5839809.46787	1058548.20358	4695007.5499	1480087.34035	962608.56938	409665.8153	19093262.77178	2888782.04635	7948780.50959	2316233.26919	181428.00065	1597379.39661	16698662.02378	9807295.11881	156553.70069	91657.31394	6033468.87564	615639.03447	21900999.95908	7379817.42556	38429761.19067	3435735.91203	17327585.35751	47682684.38414	26239536.99168	65976238.6009	5469567.27541	15490004.54395	709951.87386	388585.59941	192689.15687	2873606.82989
331.122__322.83	604869.62738	1888608.32112	145519.38625	18191322.30492	3490222.70781	1145726.32074	45547.66747	121749.79717	1418366.33435	12468344.90667	24746562.06575	468181.14996	235670.62816	3358998.53604	47907.91454	13992602.55152	580691.16985	1275200.49491	1354295.35688	4221129.40993	2794727.91868	111961.94553	1091583.4144	38551079.16055	1692987.91439	412279.41584	106610.0968	1789688.89977	202840.20398	1187425.30501	679021.81351	555178.69209	3018653.5581	278163.98865	421088.39339
331.1456__244.5	333622.92701	2074424.97104	19618.97216	3837192.71995	204353.48445	2354222.43196	2057360.55083	204197.42481	11656506.12987	334243.0296	2630261.66427	5095448.17187	2478265.73834	191921.27416	82004.16366	222004.80335	947963.42965	30651.63754	146512.52194	221194.89862	274403.05359	15147891.55416	1271272.12575	234515.6436	23338.05664	1146159.99256	306790.8801	1070431.03471	3855529.54539	400051.22844	225294.00143	433164.54074	29476141.58369	0	112104.52145
331.1555__372.06	3208225.0655	232176.83247	153860.37969	3045084.11372	2826306.12231	1395050.53071	0	390703.90411	495041.65568	4652705.62254	765459.67338	343609.71513	633432.69478	1287588.39718	1815215.64768	274638.32253	373996.13291	946746.0405	1974598.36161	728400.9301	20338.70324	4497925.03148	1477289.49915	87776.3653	523884.74187	3395560.76588	461552.81476	875981.89228	214397.09853	5497239.4901	1847365.64951	724020.83936	563553.65326	230528.06977	1328712.99038
331.1892__784.59	2912640.76722	443168.71782	64554.335	3059324.38076	0	57931.16652	0	144646.01859	53474.20078	5295023.32243	0	114189.6648	62796.9915	278551.91965	0	116682.0555	30380.79213	232968.87997	301795.83704	147934.00596	0	1302632.34378	239190.26498	231509.39115	0	0	280297.32039	88953.03202	373362.18273	119100.85192	28063.75132	68686.92929	654728.83238	177618.62149	78768.7565
331.1918__589.15	2729339.75886	2934143.3748	298882.8781	2172181.90096	1365438.96536	15609436.24563	36401.90968	1427283.73269	2850981.84914	13486145.19755	6624623.03977	8385617.0625	1349911.22969	2431738.13567	5789844.87413	2029563.28533	9144610.75947	3384827.00796	6223368.96893	10133362.22629	46203.38716	11078729.76052	3178650.09705	13221387.29655	289120.49479	15913102.30421	6541508.52022	1422215.42343	8016535.74394	1811539.94188	2439598.68962	4392966.03299	5362376.13465	0	1074365.81089
331.1992__39.46	761031.78185	376088.83803	829864.06872	2005343.5979	1072952.49985	770010.78866	12703621.20803	2749108.16922	109239.34727	1424845.88716	3210889.30389	483911.97546	1154746.19759	1003338.98012	9363235.79128	1103512.50277	16362420.38315	2425404.70576	3032696.06726	4481999.32836	5297677.07177	718503.42542	1917457.21788	251962.3399	198152.01394	212196.4465	1379206.23244	190480.35382	371240.82162	1983067.65181	200649.71865	5409119.04163	67852.63003	1302059.43631	334708.35419
331.2048__713.54	1843159.08885	4273813.66482	110265.77541	10299007.47755	506623.61637	4171032.70097	0	725596.85209	272776.37327	6999713.6767	7883735.58612	3020966.23582	1682756.36395	487881.30784	641526.93205	1461121.25733	7701053.67007	1398659.95981	2411703.46154	12358673.49041	81953.36918	8067400.27758	942586.70228	343395.48779	46044.22004	1895198.73379	1273585.94066	917403.40849	4286661.69716	825448.15067	84414.254	784938.03279	269848.09554	1147924.79881	1299612.59341
331.2074__88.99	2599457.43872	4121582.85373	3046090.0116	82713.51687	6695571.39384	14406788.22981	3689931.09841	1906939.99408	1474377.05163	319473.41498	5035025.96896	4983932.76838	2758968.66728	13213552.34022	2578337.94862	2215252.4761	1928352.28116	7107283.63977	5506298.8369	4383376.7509	1758722.3552	8637795.39697	685797.98419	2211228.46337	889579.02696	2598124.39671	2586597.72762	1523513.22114	5813270.1609	1454774.44711	3982472.57813	4804108.69916	1218294.17183	2139701.70084	341709.6274
331.2279__495.95	1948423.67324	2427290.1822	146574.83735	478437.29178	286024.58154	6103870.52625	460311.87735	542884.51516	127005.54695	5433821.44023	676838.66338	27319006.36053	2012042.93145	353675.03674	3376061.81732	482442.76053	5283459.09015	7209724.83759	3210791.72492	6997336.52526	595687.90373	945974.35998	289825.52913	7813395.8536	97640.29235	37155765.22228	629103.67664	393136.50963	213857.88587	971273.96727	152732.97037	4701518.18725	1113592.90411	422481.99429	512866.85161
331.2387__437.42	10609000.84088	6801063.33764	29475877.60109	10414260.26937	19597438.18255	7267998.71797	8633889.38527	4687485.33908	6859355.52058	9383361.87246	12342172.68124	5975705.61242	4525340.93322	2666498.7874	7477646.49571	20845752.8507	13956596.0131	1953042.91628	10767640.26946	8696799.80233	125075.77686	85390691.75033	168502.62973	13304466.27399	373423.02197	24248442.05866	2685790.99971	1213938.39483	1036008.88849	186930.81719	8362388.99455	58710599.89397	4572474.90504	1425226.59465	1884197.67807
331.2414__931.97	4619252.21671	320445.57343	67295.91325	3325402.54648	170637.72232	1797691.5837	2088366.04032	229686.76503	696087.49262	2508623.2273	772931.71228	2556028.86817	618466.42358	1959420.5881	320883.658	597008.04448	187785.22231	696987.28013	1346077.34709	661560.41242	14475.56393	520748.03199	140917.06386	902446.7922	4842406.38422	1948640.284	396349.48719	212024.85994	789842.40882	617616.30092	53887.52185	55142.18905	5016712.11342	330595.39248	1039053.14883
331.2558__866.16	3412446.76414	20441383.71411	95078.99718	9570828.36127	1776307.91421	2520893.34194	9195992.88121	1456973.57132	74204.47646	190230863.00868	220260.86626	5000497.32558	1691545.7049	10467783.2989	233911.37235	72736.50747	4888870.46294	3281833.70089	941945.36416	166982278.98044	73084.45239	72830456.34607	791330.55817	157413.78425	1053017.17847	59537210.13031	52118.56942	65459.36859	35444472.65732	75215534.98901	990138.14625	13128755.16731	211635.1285	1660938.73967	2054094.83853
332.1048__227.36	146490.71532	333206.94204	109145.3133	50468.37265	373158.71286	180109.79211	213018.43091	0	46880.51436	208725.23757	1121479.70124	1002113.49056	438696.72424	58453.23096	204934.1848	74624.46985	702643.54582	0	135423.95699	564354.25978	0	1606114.47093	162964.66358	381666.67007	871245.04873	261476.90681	175910.12619	97349.55826	0	694854.84866	901995.76048	106324.44829	5844962.4251	19959.24863	38142.17954
332.1222__138.74	33951438.77775	6762157.37384	187802.90763	571460.64115	1604581.18936	117085.23152	185900.87777	38579.10256	402804.98269	2025680.95242	16097.03685	1684362.25323	136359.23253	190212.75799	38060.29322	160914.47583	89949128.69392	915141.93627	936581.31608	1480119.31611	0	1146399.79032	202802.22571	48091707.91202	162552.13023	4456704.50432	688746.71193	315619.07738	865740.1097	2544405.71288	940705.229	24591812.22423	61742.99862	50935000.02745	21868.05357
332.1469__53.41	1314786.11501	714074.06841	255297.39713	815511.85285	5206819.67528	12040375.00504	2532131.557	163609.47838	499072.2038	1674195.79792	6387304.28345	2563908.27367	1620171.55287	5518393.03778	170831.86746	1117814.63294	410040.39874	2964055.4084	1208197.30193	4316332.65439	2812509.44189	6063525.70635	194747.31339	1579923.11433	655574.9619	1399407.87925	1847164.56144	1913025.43677	3164422.68868	393684.0786	2832636.21614	1132810.33579	547032.52025	1058541.31447	754503.28874
332.1507__323.98	858745.82999	130036.24849	74643.19647	3308914.30158	587258.92944	604549.98288	133381.69729	66818.81702	216881.12353	2325684.83806	4483553.76517	42250.31136	80284.94813	578282.74086	0	2573344.93166	107588.78098	170543.07058	181077.20566	305596.73951	497238.11091	956748.85489	107154.46611	6947760.14115	0	443903.77083	126942.89656	237389.29825	5650956.43503	471903.94189	90667.77716	32421.7796	524474.44816	139330.65768	43330.11805
332.1587__378.06	96802.54031	51251.56067	137905.23803	622320.48652	127903.9274	549623.47907	38009.0317	52057.46422	43948.18071	734084.98429	1434062.29121	1196632.59683	1273775.92489	336535.19377	268005.18889	5802490.60008	2159474.98338	21216.14462	376513.95512	1705904.62828	23722.76247	885564.6031	386081.64969	1739921.48609	56982.45631	245441.1787	1036489.15381	92498.97309	258670.392	3022518.92883	369673.15449	637254.29307	31277.8952	147861.35374	381439.37244
332.1593__277.58	1258155.36451	57925.739	412529.03758	56967.09003	2134365.83628	514896.50739	40659.67412	45166.37764	464544.6761	1026377.35493	212830.96167	541290.82171	50344.1522	189477.16441	119674.13127	507156.40554	128060.0635	45006.4854	140994.18774	290160.6552	0	399183.99417	57911.53075	637176.25171	545603.56031	223961.02271	26862.52552	4671.12729	161051.17028	433123.71356	121670.05466	364730.88295	87855.54878	355408.83568	291456.12964
332.1996__588.65	526847.46284	498226.50748	122010.53099	404308.45435	135417.74427	2789845.16719	70423.97663	264969.53144	288322.10394	2730681.51156	847604.65205	1742803.91326	1141165.77492	312951.36335	1178413.88473	417645.56238	1993657.50379	777568.81298	1190891.28743	1281748.57143	0	2251980.53005	751777.51368	2792329.51688	412189.52549	3276591.96886	1316488.86127	910780.02402	1662487.88889	105761.56396	483337.01901	744566.49891	1091665.08971	65631.98965	146628.52912
332.2075__695.09	4030790.66002	491921.28761	0	566955.11873	0	61885237.30242	0	1067683.71478	455757.50446	8121871.63371	16196125.44667	397592.34337	5386.95965	0	556545.94282	289841.69107	28160058.75502	1502547.73346	641850.89604	250115.94583	45134.60371	263113.89225	2301080.55936	41664155.39523	50896.14637	38359839.95623	1055803.96476	174532.75684	26352510.11902	1746652.76768	0	11016370.84987	297055.2207	0	219151.07451
332.242__495.95	254650.18858	178696.35875	86302.98645	64089.2915	0	1065055.49289	0	60104.2655	64419.74772	14150.19332	0	2074604.43739	354581.69055	0	621527.28122	73762.68115	430402.80239	1298828.14304	612259.41636	1175971.30555	106782.731	67101262.40466	1234554.79548	1414201.43548	0	7006689.80889	88225.59315	71692.7918	2212398.01399	7605663.16994	110653.29228	882773.30158	78446.78203	0	50460.94151
332.252__437.44	1963853.75619	654807.12229	5661707.94654	1652740.94237	3694323.88396	1086046.1699	1651726.25868	611891.37811	1155225.65498	814476.87666	1477122.8274	421583.24605	696598.66078	35117.81374	1127471.27129	3804467.36109	2710332.89819	64237.25083	1737764.46043	1267165.18233	14527.16038	14122982.69534	1627330.3995	1251163.98898	0	4550591.93949	757080.50328	190078.85724	3864146.94619	6132992.75724	1155696.52294	11205505.39962	824005.97275	250363.4918	232523.96916
332.2674__882.93	79869084.25315	77756344.20862	1486867.20404	65881063.5493	45794128.70795	199755410.04494	258661313.07356	148161711.39537	16267659.26938	45532889.31718	33546967.78854	104047629.64369	11432723.09286	644752077.39435	45998235.78696	55113228.71876	58090475.83826	53521657.32045	36991979.48243	39525566.02839	6248952.39592	17292104.03243	28591097.60952	29165944.54746	29160387.1535	91375501.97372	6669031.69801	2961799.40485	7903181.93263	17865316.78467	6314138.35004	62774559.52172	51572161.68018	40848349.07844	5969706.08385
332.9229__38.85	71345.37853	2978582.4984	241830.96144	295878.05115	22165384.73969	0	2421947.56785	421137.37761	1059556.3312	172151.71178	0	813049.2104	183856.99066	161884.9556	6877174.28657	473046.65194	2004555.52659	154135.32759	1458256.10841	2766441.36761	1591516.45099	0	7956300.68067	537267.87646	667860.95646	871094.35515	453338.16993	432916.48902	851988.56295	944610.85402	223298.39194	963304.32159	137446.0258	4412928.79971	1091838.94095
333.0904__414.15	1043424.34757	814475.04127	284959.37305	19034963.31163	0	509165.06678	85573.54041	701729.08762	5686605.78644	23024020.59261	7128701.56931	347784.92609	2321333.57527	10756.82382	442473.62138	4237392.37739	3667056.37269	290775.43921	1179466.70612	1741032.14275	121235.57488	31574232.85294	4568303.17354	2598008.52234	55503.54759	4022369.78621	24180855.90173	9919311.54405	1732898.58409	10802311.40144	786344.19643	1240163.5413	1155895.35402	91461.16098	160079.29022
333.0937__221.98	1591332.51697	2217792.98573	3644341.78	7414773.55673	2753341.70558	2829220.36039	287375.22053	104770.78237	143981.62142	100668.46269	2717825.37169	541552.74562	31743.33485	392727.93289	3717297.74976	421085.00127	5133010.39567	76650.12097	307779.8344	750120.68955	2650583.91768	785378.49931	2682073.10303	2248304.0319	38730.63371	3012005.503	1548720.9821	2603724.99919	7055123.75228	2955036.60593	5098647.12524	77033.10305	59917.13028	50595.39436	126695.41189
333.1018__291.46	805554.04672	1316241.68326	362719.73051	133598.83925	327302.96297	1193603.62838	0	416178.06701	336340.10108	385934.26342	571703.1193	593177.6593	57405.85406	107778.05748	154729.25631	397455.51952	198619.26943	171930.71007	235904.75522	267269.39105	0	980866.07437	176084.58327	1277528.89443	178418.53901	231487.62689	619586.85542	309166.87554	1230124.24676	148698.52782	109700.99503	560934.54317	275066.67113	50693.94124	111128.34814
333.1129__96.13	29970700.09142	823628.39299	747394.33962	2543103.16234	3219331.08476	38827207.34254	606888.57209	3306.10276	1529367.3756	1008133.86024	1960385.12681	108389528.50688	257222.71698	102894.59205	135467.38067	514776.1428	0	4084535.164	1254013.34289	1682594.19297	99164.67264	15638002.62283	3049383.73524	0	709397.84696	0	1278328.42082	1134912.94146	10367477.66042	3662209.21284	2965897.48417	8776673.38758	987627.81948	146062.74747	410881.98939
333.118__133.13	4147591.58119	819810.52215	3498880.91048	2006971.4552	256968.30384	476120.68333	17930064.90774	1115513.91164	491174.26775	804361.51255	512647.74388	4184625.88308	247051.88018	858610.07234	8123440.31237	1498556.58296	10751722.15377	1296738.93222	5844560.63129	12895719.11431	561770.22225	16503.50908	3347170.93847	5855903.94103	1007773.31547	10154059.02127	3263282.86945	4361236.76523	19768893.34445	2343862.33852	16571990.87451	12220714.295	4082477.97873	559548.06255	533979.52374
333.1305__50.38	3092700.49335	1159727.01912	225762.66658	915539.95033	1202719.07203	2078169.63929	870277.13609	22189380.4226	7901138.68832	1476652.02144	2716394.76873	138326.98089	2080440.5875	1255887.43914	3431371.15678	1239389.73192	5202556.05306	388212.19772	873606.05483	583958.96133	163780.72983	2310756.9718	3818543.87617	29697840.96488	7831516.88784	6063727.27601	558486.30193	1553887.16284	243167.93428	871314.9576	1369694.62693	1721144.64516	1855951.13408	743110.66494	3786568.69916
333.1348__176.23	1867139.23676	17278525.20264	11572.42098	3825666.0875	627608.52784	5391918.82715	223361.25803	41192.62016	6548420.70144	2587656.4096	3275717.06346	1415889.74132	553518.08268	6062945.26923	5553655.51547	1715519.73071	1866348.62124	229273.69792	639457.53114	796424.11784	103431.85621	1915227.31161	821345.4888	12745319.10369	722910.65641	3364266.64468	373922.06226	684738.69314	7355.57176	976891.10381	936756.11094	3360460.11187	3988091.96814	555045.57711	367429.20086
333.1401__339.88	213891.31339	7491850.77207	1967256.73218	5516172.09662	5809343.15515	1946843.63775	31603.95076	91201.82465	93230831.4342	21133044.64742	10361478.16211	185802.13657	76002.11946	13274553.45486	608135.9674	15918854.03926	3613762.85469	47098.23951	4063352.76345	276925.82929	37522.31247	13145987.3577	2230717.86734	127210.21824	1085879.62815	355765.74557	4962767.47005	191728.84265	6719368.32229	2610758.98342	3671188.76016	600369.36695	16717231.21865	91800.87942	4116357.9046
333.1693__494.53	454797.54476	756116.86398	1989243.27541	227535.20062	477078.36541	16524.40104	145339.17017	90181.88179	668888.5927	257732.54391	1874041.21282	193348.82975	17084.4942	469105.36447	1282340.50551	105303.22034	72181.91017	117335.12205	127502.17379	901728.21133	212383.13814	7533777.74867	1966461.48799	1084707.87412	0	597103.31311	264703.55716	52856.23857	825716.51067	745613.18143	98599.57848	67594.80457	107054.65099	277829.9457	4221.45816
333.1825__346.29	424144.06324	0	1015743.85524	25169.93634	0	155431.62447	0	67612.46061	8021.21241	2285891.78042	498911.41412	371241.59148	589705.93327	107284.05658	306688.76484	350375.47279	85267.99316	55407.14442	1039616.52002	2743702.22424	62433.09448	4488305.9708	213195.07355	18522.74027	3124.54948	1730405.0621	1556224.55016	801637.80806	2726586.75737	3826756.86914	433743.52794	352918.18696	456738.59038	0	883982.59283
333.1905__405.68	1570761.09465	169435.51411	2237866.16521	1907864.33371	132474.30126	344362.31736	173374.34189	154401.8702	3306069.19766	3640811.49476	1071394.90767	794438.17413	318999.01529	1829726.2129	1085895.65445	686814.35347	1389160.60807	60245.94297	1809654.99966	2253682.3549	46592.60778	1892955.52591	2366216.62362	2444809.15011	260500.02831	161791.19269	2879965.66617	1421505.64073	4521346.44147	2308692.47481	3569756.18406	62763.51183	318958.08509	132185.93146	1572621.27816
333.2046__681.76	329408.83841	2897611.87056	2102399.52919	227169.28782	1190386.26303	124177.23379	1207734.75203	3440527.30847	8286193.51983	939100.67348	2474939.66612	1360643.15611	1836837.24578	678916.61566	4871845.95048	1203651.99286	183449.3049	855641.57297	385193.55063	220640.69477	235885.31135	1073807.56296	19855240.40982	2747808.46366	1022335.87947	1194927.16094	580590.12442	918126.26889	1280188.21925	216689.18504	281835.89887	899959.77338	1305639.80232	4197439.64262	491113.00049
333.2052__813.99	77158.20498	676275.70472	87531.79249	41185307.46936	585088.66486	199116.21226	0	281504.73637	583693.32586	0	0	108875.62179	777298.36832	0	481242.83734	641017.31848	1239714.59191	110213.76262	1218654.004	528422.0501	30690.50311	181663.01089	157560.11978	928962.0584	636077.81972	18960.17419	155381.6583	321697.98283	2545833.15229	307795.6177	1077924.84358	1658476.60128	438833.80223	1639847.6877	3071445.20857
333.2073__565.13	80771.04645	2954721.74775	118131.11937	1471823.39536	1135421.69796	661416.38906	147194.94614	98532.16699	1745061.05778	60039.88279	804503.65894	1213700.57616	209243.95571	0	1372078.95348	4024553.00111	529738.05017	166021.06951	680088.76002	548404.9271	90012.35554	3854358.65531	9781380.7377	321586.59063	98136.33681	1905343.45866	3416127.66893	2416125.60921	2322290.38244	1306404.071	643961.9879	128688.9441	12199390.52844	194914.38432	145039.48984
333.2074__614.57	6814359.73536	310017.90131	347389.90934	3753488.36739	339157.74979	23537276.51524	336853.78785	3604160.87025	6567571.6851	51675897.05786	14302957.56434	12499693.98757	6188522.38371	8994623.37321	5280451.81033	4388243.46533	23690552.1948	5358738.59232	19701954.40796	17676235.92548	121451.38255	48073850.20883	13918437.89599	32632945.87549	2217340.75162	56413427.54459	5967067.28274	3253889.99845	1910432.08231	2342167.19863	4671873.59397	4392073.03805	8999012.2372	76851.99017	5136655.89044
333.2206__763.12	365722.83116	1402026.09507	409938.15694	635315.57784	2463677.1659	13327380.44985	97896.65208	3575513.39485	183950.97773	8752492.80543	8527294.35275	5221252.52986	2583144.72042	12598122.65814	326908.76062	1379282.00014	946566.80159	2090097.40511	8415511.56616	4916503.14663	158390.85196	2238301.88129	2217600.06678	284499.87943	28658.38871	150521.94807	1291101.01713	279837.31051	196841.32761	1921031.97992	7502389.83518	1286102.97766	7576539.22375	81050.2123	5732551.81989
